row,col,value
47,84,9
6,93,5
88,86,4
68,39,4
27,44,8
27,47,1
68,48,1
88,96,6
27,54,4
7,8,9
27,56,5
68,54,1
7,11,5
7,12,2
89,3,4
27,65,8
68,63,5
27,69,8
27,70,5
48,21,7
48,23,7
89,22,4
27,79,1
48,28,3
27,82,4
48,30,5
48,32,3
7,39,3
27,87,5
7,41,8
68,83,4
27,88,7
89,37,8
48,41,7
68,91,4
7,48,9
48,42,4
7,53,6
28,3,4
89,50,3
48,55,7
89,52,6
28,10,2
48,59,7
7,64,4
7,68,2
69,12,9
69,17,3
48,70,5
48,71,2
28,24,9
69,21,8
69,22,1
48,76,5
28,30,7
89,76,8
48,82,7
48,83,2
69,36,6
7,94,6
48,93,8
28,47,6
8,0,1
89,93,8
89,94,9
28,48,1
69,50,4
28,55,9
69,54,5
8,11,6
8,12,6
90,3,3
49,10,1
90,7,5
8,15,3
49,13,9
28,66,7
69,59,8
49,16,3
28,69,2
69,65,5
49,19,6
8,21,2
90,13,7
8,29,6
69,76,4
49,29,6
49,34,3
8,42,6
8,43,9
69,92,4
28,98,2
8,50,1
29,2,5
29,3,2
90,48,1
29,5,1
49,54,8
8,56,4
29,8,4
29,9,6
49,57,7
29,11,5
90,56,7
90,57,5
49,58,9
70,12,7
8,69,6
8,73,2
70,17,9
49,71,3
90,70,1
70,23,8
90,71,4
29,32,1
70,28,2
90,79,5
29,35,7
29,38,1
8,91,4
70,38,7
49,94,3
29,47,4
70,42,3
29,46,2
29,50,6
90,91,4
90,96,3
50,1,9
70,51,6
70,56,2
9,13,9
91,7,3
70,60,5
91,11,1
29,67,1
29,69,3
29,68,6
29,71,5
91,12,2
9,25,6
50,22,4
70,70,5
50,23,6
50,25,7
70,73,7
70,76,7
9,33,9
50,30,4
70,80,4
50,33,8
70,83,4
9,46,4
50,43,8
91,38,7
29,97,9
70,94,5
70,99,6
30,4,2
30,3,7
91,52,5
91,55,5
50,61,5
30,14,2
9,67,5
91,60,2
9,70,9
30,22,4
30,24,1
71,21,8
10,8,4
91,71,2
30,28,6
30,27,6
71,25,4
30,31,3
50,80,1
30,33,8
30,34,9
91,79,2
71,30,1
50,76,1
50,92,5
9,99,9
71,50,9
51,2,8
71,51,3
92,1,1
10,9,7
30,59,5
51,8,6
10,10,5
51,6,9
51,11,7
71,60,8
92,9,3
71,56,2
71,67,1
10,26,7
30,77,6
51,26,6
10,34,3
71,81,5
71,83,8
92,32,4
30,96,8
92,44,1
10,55,4
92,47,5
31,6,3
72,3,4
92,52,2
10,60,6
72,6,9
31,11,2
72,7,7
10,58,9
10,66,1
92,59,5
10,64,3
92,61,5
92,62,9
10,72,2
51,69,8
92,68,9
10,78,3
10,85,7
10,86,1
72,31,6
31,34,8
51,81,6
10,97,1
72,44,9
31,48,9
31,50,5
51,98,6
92,93,9
11,9,7
11,10,5
52,5,1
72,55,8
52,14,1
93,10,7
72,64,1
11,21,7
31,71,8
72,69,6
31,74,1
52,24,4
72,73,5
72,76,5
93,25,3
93,27,2
72,80,1
11,37,1
93,28,1
31,87,9
31,88,5
31,86,2
52,36,3
93,38,7
11,48,8
31,97,5
72,95,9
52,48,6
72,97,9
32,2,1
32,3,7
52,56,4
11,61,5
52,58,6
73,7,9
73,12,2
52,65,4
73,15,3
11,73,3
71,53,4
52,71,6
52,70,2
93,70,6
32,26,3
32,28,7
93,75,5
52,81,5
32,34,9
32,33,3
11,88,8
32,41,4
93,86,1
73,39,3
11,97,8
32,47,8
12,1,3
93,95,8
32,52,2
52,99,6
73,50,6
93,99,4
12,8,7
73,54,9
73,56,4
73,57,8
73,58,9
12,15,1
94,12,4
12,22,9
94,15,8
53,20,9
73,69,3
53,22,5
53,24,9
32,79,4
32,87,3
94,32,3
32,91,8
53,40,5
94,40,1
94,41,5
12,58,1
12,63,5
53,60,5
53,61,8
33,14,5
74,15,9
74,25,3
74,27,4
12,88,5
94,81,3
33,36,1
53,85,1
12,95,3
94,88,1
12,98,7
94,93,8
33,50,9
13,2,3
13,5,1
94,99,6
13,11,2
13,12,2
95,5,3
74,56,9
95,7,2
54,9,2
13,17,1
33,66,6
95,11,7
33,68,3
33,69,5
13,22,9
74,67,3
13,24,2
13,27,4
74,72,2
13,28,9
54,29,1
54,34,6
13,42,8
33,96,6
54,45,8
95,41,9
54,44,7
74,94,9
95,45,9
54,49,8
34,1,3
95,48,5
95,40,2
34,4,9
13,50,1
54,56,2
54,57,3
34,9,2
54,59,1
95,56,2
34,20,9
34,24,7
13,76,9
75,22,9
75,24,8
34,30,6
13,82,5
75,28,9
95,77,2
13,86,3
34,34,2
95,82,2
95,84,7
54,91,1
75,41,7
95,92,2
34,49,9
34,51,2
75,48,8
95,96,9
95,99,5
34,55,7
55,8,2
75,58,1
55,11,3
75,63,4
96,11,9
34,79,7
34,80,4
96,25,4
34,82,7
96,29,7
55,34,8
14,40,8
75,85,4
96,35,3
34,93,6
96,40,3
96,44,6
35,0,9
14,54,6
35,1,9
55,53,8
76,2,2
96,51,4
76,5,7
96,62,4
96,63,2
55,72,2
35,26,4
96,81,8
96,83,7
35,43,5
14,98,9
76,51,8
35,56,1
76,56,4
15,12,6
76,58,8
35,62,4
56,16,8
97,14,5
35,72,7
35,75,3
97,21,3
76,74,2
97,23,5
76,79,9
97,28,8
15,38,2
56,37,4
35,90,4
56,39,9
15,44,2
97,37,2
97,38,4
76,91,8
35,98,1
36,4,1
15,61,3
56,58,8
97,55,5
36,13,5
15,65,8
36,20,8
77,16,5
77,20,7
77,22,3
15,80,1
77,26,8
36,34,5
97,89,2
97,90,7
16,0,5
16,5,6
97,98,2
77,51,7
57,4,8
36,53,8
16,10,8
57,8,6
77,57,4
57,12,6
77,61,2
77,63,5
57,20,2
36,73,9
16,24,3
57,23,2
36,79,2
57,28,1
36,85,2
16,38,4
98,30,7
77,84,3
98,34,8
77,88,8
36,96,5
36,98,4
98,43,9
57,48,3
16,52,1
57,54,2
57,56,5
78,4,3
57,61,1
16,66,4
98,62,3
57,67,1
78,15,8
98,64,8
37,24,6
16,80,2
16,81,9
78,29,8
37,34,7
98,77,4
16,93,8
37,43,9
98,87,6
57,93,7
37,50,1
37,53,2
58,3,1
78,52,9
37,58,5
99,4,1
78,59,9
17,16,5
78,60,4
37,67,3
37,68,8
78,74,3
17,31,9
17,32,8
58,27,8
99,26,5
78,81,2
17,37,6
78,82,5
99,34,4
99,36,4
99,37,8
78,91,2
17,49,5
37,98,1
78,95,3
99,49,4
58,54,8
99,50,2
58,53,3
17,62,3
79,7,3
58,60,2
17,67,1
17,69,5
79,15,4
38,20,4
38,22,6
99,69,7
38,27,9
17,80,8
17,81,5
99,71,7
99,75,7
58,82,2
99,81,9
79,35,8
38,40,5
38,45,1
79,42,4
58,95,3
99,90,7
18,9,6
59,6,4
79,55,7
79,56,1
38,61,4
79,62,3
59,15,1
79,65,3
79,66,5
18,26,1
59,28,9
79,88,1
79,89,6
79,90,6
59,47,9
18,52,6
79,97,6
79,98,4
39,6,8
59,54,8
39,8,2
18,61,7
39,15,2
59,66,4
59,71,9
18,80,6
18,81,7
18,82,4
59,78,9
39,28,8
80,29,8
18,83,9
59,83,3
39,40,1
18,93,7
39,46,3
19,1,2
80,46,1
19,3,8
19,4,1
80,49,8
39,55,9
60,3,8
60,5,7
39,60,7
80,56,2
80,60,3
80,65,8
19,26,8
60,23,2
19,31,5
80,77,9
60,30,2
19,35,2
80,81,7
39,86,9
39,87,5
80,83,1
60,37,8
60,39,2
39,92,1
19,45,7
19,48,2
19,49,2
60,47,5
40,2,6
40,4,1
19,63,6
81,9,2
81,10,2
81,12,6
40,22,6
40,26,8
60,75,9
19,79,3
60,77,7
40,31,5
60,80,8
19,86,8
81,32,1
60,88,2
40,48,4
61,0,1
81,48,4
40,54,9
81,51,4
40,57,7
61,7,3
61,13,6
20,19,6
61,19,2
61,20,6
40,74,6
61,23,8
40,77,4
81,80,2
61,33,5
81,82,3
61,36,4
61,38,3
