row,col,value
14,15,1
75,65,8
96,15,1
14,23,5
96,20,9
55,28,1
14,33,8
96,30,4
55,59,2
76,30,2
76,31,4
35,45,1
15,11,7
15,13,3
35,61,8
15,17,7
35,75,1
76,73,8
76,74,7
56,32,4
56,33,8
56,36,8
76,84,9
15,42,6
15,45,2
97,37,4
56,49,6
76,98,5
56,54,7
56,57,3
56,61,9
56,63,7
15,68,9
36,21,4
15,74,2
36,26,8
97,72,6
56,78,3
36,38,9
15,93,3
77,40,7
97,89,2
97,91,9
16,1,9
16,3,9
57,11,9
16,18,5
57,14,8
77,64,6
98,12,3
77,78,6
16,48,9
36,97,4
36,96,4
77,92,9
16,52,4
77,93,8
57,45,5
98,50,8
57,58,2
78,11,7
37,16,9
37,18,2
57,76,3
98,73,9
57,86,1
78,35,3
57,88,2
78,43,3
98,95,7
78,54,9
78,62,5
78,72,4
37,79,4
58,33,5
99,35,3
17,47,7
78,91,4
99,41,5
17,64,3
17,68,4
17,69,2
38,17,1
38,19,1
79,23,7
58,83,1
99,79,8
17,88,9
99,83,5
58,89,8
99,88,3
79,41,5
79,42,6
79,43,9
99,91,7
38,51,6
79,49,4
59,7,9
18,16,1
18,20,9
18,21,3
59,25,4
80,1,4
39,7,5
39,11,2
80,16,1
80,23,7
18,79,3
39,30,5
59,84,2
80,56,2
80,61,1
19,18,5
60,18,6
19,37,8
60,34,4
80,82,3
19,40,2
80,85,2
39,97,5
40,6,7
40,7,5
81,6,1
81,8,6
40,20,7
81,19,2
60,71,4
60,74,9
40,30,7
81,32,7
60,91,7
81,40,8
40,54,9
20,15,6
20,17,9
61,14,9
61,19,2
40,91,4
40,94,2
